date,split,exercise,set no.,weight,reps
2022-02-08,chest,barbell_bench_press,1,'80 kg',2
2022-02-08,chest,barbell_bench_press,2,'70 kg',3
2022-02-08,chest,barbell_bench_press,3,'60 kg',5
2022-02-08,chest,barbell_bench_press,4,'60 kg',5
2022-02-08,chest,dumbbell_incline_press,1,'50 kg',8
2022-02-08,chest,dumbbell_incline_press,2,'50 kg',6
2022-02-08,chest,dumbbell_incline_press,3,'44 kg',8
2022-02-08,chest,dumbbell_incline_press,4,'44 kg',5
2022-02-08,chest,dip,1,'0 kg',5
2022-02-08,chest,dip,2,'0 kg',5
2022-02-08,chest,dip,3,'0 kg',5
2022-02-08,chest,dumbbell_flys,1,'25 kg',8
2022-02-08,chest,dumbbell_flys,2,'25 kg',8
2022-02-08,chest,dumbbell_flys,3,'25 kg',8
2022-02-08,chest,dumbbell_incline_flys,1,'20 kg',10
2022-02-08,chest,dumbbell_incline_flys,2,'20 kg',8
2022-02-08,chest,dumbbell_incline_flys,3,'20 kg',10
2022-02-08,chest,dumbbell_decline_flys,1,'20 kg',8
2022-02-08,chest,dumbbell_decline_flys,2,'20 kg',10
2022-02-08,chest,dumbbell_decline_flys,3,'20 kg',8
