date,split,exercise,set no.,weight,reps
2022-02-11,shoulders_and_abs,arnold_press,1,'34 kg',8
2022-02-11,shoulders_and_abs,arnold_press,2,'34 kg',8
2022-02-11,shoulders_and_abs,arnold_press,3,'30 kg',8
2022-02-11,shoulders_and_abs,arnold_press,4,'30 kg',8
2022-02-11,shoulders_and_abs,dumbbell_side_lateral,1,'20 kg',10
2022-02-11,shoulders_and_abs,dumbbell_side_lateral,2,'20 kg',10
2022-02-11,shoulders_and_abs,dumbbell_side_lateral,3,'20 kg',10
2022-02-11,shoulders_and_abs,dumbbell_side_lateral,4,'20 kg',10
2022-02-11,shoulders_and_abs,dumbbell_front_lateral_raise,1,'14 kg',10
2022-02-11,shoulders_and_abs,dumbbell_front_lateral_raise,2,'14 kg',10
2022-02-11,shoulders_and_abs,dumbbell_front_lateral_raise,3,'10 kg',10
2022-02-11,shoulders_and_abs,dumbbell_front_lateral_raise,4,'10 kg',10
2022-02-11,shoulders_and_abs,dumbbell_rear_lateral_raise,1,'10 kg',10
2022-02-11,shoulders_and_abs,dumbbell_rear_lateral_raise,2,'10 kg',10
2022-02-11,shoulders_and_abs,dumbbell_rear_lateral_raise,3,'10 kg',10
2022-02-11,shoulders_and_abs,barbell_shrug,1,'45 kg',15
2022-02-11,shoulders_and_abs,barbell_shrug,2,'45 kg',15
2022-02-11,shoulders_and_abs,barbell_shrug,3,'45 kg',15
2022-02-11,shoulders_and_abs,twisting_leg_raise,1,'0 kg',30
2022-02-11,shoulders_and_abs,twisting_leg_raise,2,'0 kg',30
2022-02-11,shoulders_and_abs,twisting_leg_raise,3,'0 kg',26
2022-02-11,shoulders_and_abs,swiss_ball_crunch,1,'0 kg',20
2022-02-11,shoulders_and_abs,swiss_ball_crunch,2,'0 kg',20
2022-02-11,shoulders_and_abs,swiss_ball_crunch,3,'0 kg',30
