date,split,exercise,set no.,weight,reps
2022-01-15,legs,squat,1,'100 kg',3
2022-01-15,legs,squat,2,'90 kg',5
2022-01-15,legs,squat,3,'80 kg',5
2022-01-15,legs,squat,4,'80 kg',5
2022-01-15,legs,deadlift,1,'100 kg',5
2022-01-15,legs,deadlift,2,'100 kg',5
2022-01-15,legs,deadlift,3,'100 kg',5
2022-01-15,legs,deadlift,4,'100 kg',5
2022-01-15,legs,standing_calf_raise,1,'50 kg',12
2022-01-15,legs,standing_calf_raise,2,'50 kg',12
2022-01-15,legs,standing_calf_raise,3,'50 kg',12
2022-01-15,legs,leg_extention,1,'70 kg',10
2022-01-15,legs,leg_extention,2,'70 kg',7
2022-01-15,legs,leg_extention,3,'50 kg',10
2022-01-15,legs,hack_squat,1,'50 kg',15
2022-01-15,legs,hack_squat,2,'70 kg',10
2022-01-15,legs,hack_squat,3,'70 kg',10
