date,split,exercise,set no.,weight,reps
2022-02-15,chest,barbell_bench_press,1,'80 kg',2
2022-02-15,chest,barbell_bench_press,2,'70 kg',5
2022-02-15,chest,barbell_bench_press,3,'60 kg',8
2022-02-15,chest,barbell_bench_press,4,'60 kg',5
2022-02-15,chest,dumbbell_incline_press,1,'52 kg',5
2022-02-15,chest,dumbbell_incline_press,2,'48 kg',5
2022-02-15,chest,dumbbell_incline_press,3,'44 kg',5
2022-02-15,chest,dumbbell_incline_press,4,'40 kg',5
2022-02-15,chest,dip,1,'0 kg',5
2022-02-15,chest,dip,2,'0 kg',5
2022-02-15,chest,dip,3,'0 kg',5
2022-02-15,chest,cable_crossover,1,'30 kg',8
2022-02-15,chest,cable_crossover,2,'25 kg',8
2022-02-15,chest,cable_crossover,3,'20 kg',10
2022-02-15,chest,cable_crossover_high_low,1,'20 kg',8
2022-02-15,chest,cable_crossover_high_low,2,'20 kg',8
2022-02-15,chest,cable_crossover_high_low,3,'20 kg',8
2022-02-15,chest,cable_crossover_low_high,1,'15 kg',5
2022-02-15,chest,cable_crossover_low_high,2,'10 kg',10
2022-02-15,chest,cable_crossover_low_high,3,'5 kg',14
