date,split,exercise,set no.,weight,reps
2021-12-29,shoulders_and_abs,arnold_press,1,'28 kg',10
2021-12-29,shoulders_and_abs,arnold_press,2,'32 kg',10
2021-12-29,shoulders_and_abs,arnold_press,3,'32 kg',10
2021-12-29,shoulders_and_abs,cable_side_lateral,1,'11 kg',12
2021-12-29,shoulders_and_abs,cable_side_lateral,2,'13 kg',12
2021-12-29,shoulders_and_abs,cable_side_lateral,3,'13 kg',10
2021-12-29,shoulders_and_abs,cable_side_lateral,4,'15 kg',10
2021-12-29,shoulders_and_abs,dumbbell_side_lateral,1,'20 kg',10
2021-12-29,shoulders_and_abs,dumbbell_side_lateral,2,'20 kg',10
2021-12-29,shoulders_and_abs,dumbbell_side_lateral,3,'20 kg',10
2021-12-29,shoulders_and_abs,dumbbell_front_lateral_raise,1,'20 kg',5
2021-12-29,shoulders_and_abs,dumbbell_front_lateral_raise,2,'12 kg',10
2021-12-29,shoulders_and_abs,dumbbell_front_lateral_raise,3,'12 kg',10
2021-12-29,shoulders_and_abs,dumbbell_front_lateral_raise,4,'8 kg',10
2021-12-29,shoulders_and_abs,dumbbell_rear_lateral_raise,1,'4 kg',12
2021-12-29,shoulders_and_abs,dumbbell_rear_lateral_raise,2,'8 kg',12
2021-12-29,shoulders_and_abs,dumbbell_rear_lateral_raise,3,'8 kg',12
2021-12-29,shoulders_and_abs,dumbbell_shrug,1,'48 kg',12
2021-12-29,shoulders_and_abs,dumbbell_shrug,2,'48 kg',12
2021-12-29,shoulders_and_abs,dumbbell_shrug,3,'48 kg',12
2021-12-29,shoulders_and_abs,twisting_leg_raise,1,'0 kg',24
2021-12-29,shoulders_and_abs,twisting_leg_raise,2,'0 kg',20
2021-12-29,shoulders_and_abs,twisting_leg_raise,3,'0 kg',20
2021-12-29,shoulders_and_abs,swiss_ball_crunch,1,'0 kg',15
2021-12-29,shoulders_and_abs,swiss_ball_crunch,2,'0 kg',15
2021-12-29,shoulders_and_abs,swiss_ball_crunch,3,'0 kg',15
