date,split,exercise,set no.,weight,reps
2022-01-03,chest,barbell_bench_press,1,'70 kg',5
2022-01-03,chest,barbell_bench_press,2,'70 kg',5
2022-01-03,chest,barbell_bench_press,3,'70 kg',5
2022-01-03,chest,barbell_bench_press,4,'80 kg',1
2022-01-03,chest,barbell_incline_press,1,'60 kg',4
2022-01-03,chest,barbell_incline_press,2,'50 kg',6
2022-01-03,chest,barbell_incline_press,3,'50 kg',6
2022-01-03,chest,barbell_incline_press,4,'50 kg',5
2022-01-03,chest,cable_crossover,1,'54 kg',12
2022-01-03,chest,cable_crossover,2,'54 kg',10
2022-01-03,chest,cable_crossover,3,'54 kg',8
2022-01-03,chest,cable_crossover_high_low,1,'28 kg',12
2022-01-03,chest,cable_crossover_high_low,2,'36 kg',10
2022-01-03,chest,cable_crossover_high_low,3,'36 kg',10
2022-01-03,chest,cable_crossover_low_high,1,'28 kg',7
2022-01-03,chest,cable_crossover_low_high,2,'18 kg',10
2022-01-03,chest,cable_crossover_low_high,3,'18 kg',12
2022-01-03,chest,dip,1,'0 kg',5
2022-01-03,chest,dip,2,'0 kg',5
2022-01-03,chest,dip,3,'0 kg',5
