date,split,exercise,set no.,weight,reps
2021-12-11,legs,squat,1,'70 kg',8
2021-12-11,legs,squat,2,'80 kg',8
2021-12-11,legs,squat,3,'90 kg',5
2021-12-11,legs,squat,4,'90 kg',5
2021-12-11,legs,deadlift,1,'70 kg',8
2021-12-11,legs,deadlift,2,'80 kg',8
2021-12-11,legs,deadlift,3,'90 kg',5
2021-12-11,legs,deadlift,4,'90 kg',5
2021-12-11,legs,legpress,1,'90 kg',8
2021-12-11,legs,legpress,2,'90 kg',8
2021-12-11,legs,leg_extention,1,'64 kg',15
2021-12-11,legs,leg_extention,2,'73 kg',12
2021-12-11,legs,leg_extention,3,'73 kg',10
2021-12-11,legs,leg_extention,4,'64 kg',15
2021-12-11,legs,seated_calf_raise,1,'82 kg',12
2021-12-11,legs,seated_calf_raise,2,'82 kg',12
2021-12-11,legs,seated_calf_raise,3,'82 kg',15
2021-12-11,legs,seated_calf_raise,4,'82 kg',15
2021-12-11,legs,lunge,1,'0 kg',14
2021-12-11,legs,lunge,2,'0 kg',14
2021-12-11,legs,lunge,3,'0 kg',14
2021-12-11,legs,lunge,4,'0 kg',14
2021-12-11,legs,lunge,5,'0 kg',14
