date,split,exercise,set no.,weight,reps
2022-02-18,shoulders_and_abs,arnold_press,1,'32 kg',12
2022-02-18,shoulders_and_abs,arnold_press,2,'32 kg',10
2022-02-18,shoulders_and_abs,arnold_press,3,'36 kg',6
2022-02-18,shoulders_and_abs,arnold_press,4,'36 kg',6
2022-02-18,shoulders_and_abs,cable_side_lateral,1,'18 kg',10
2022-02-18,shoulders_and_abs,cable_side_lateral,2,'14 kg',12
2022-02-18,shoulders_and_abs,cable_side_lateral,3,'14 kg',12
2022-02-18,shoulders_and_abs,cable_side_lateral,4,'14 kg',12
2022-02-18,shoulders_and_abs,dumbbell_front_lateral_raise,1,'12 kg',12
2022-02-18,shoulders_and_abs,dumbbell_front_lateral_raise,2,'12 kg',10
2022-02-18,shoulders_and_abs,dumbbell_front_lateral_raise,3,'12 kg',10
2022-02-18,shoulders_and_abs,dumbbell_front_lateral_raise,4,'12 kg',10
2022-02-18,shoulders_and_abs,dumbbell_rear_lateral_raise,1,'12 kg',12
2022-02-18,shoulders_and_abs,dumbbell_rear_lateral_raise,2,'12 kg',12
2022-02-18,shoulders_and_abs,dumbbell_rear_lateral_raise,3,'12 kg',10
2022-02-18,shoulders_and_abs,barbell_shrug,1,'55 kg',15
2022-02-18,shoulders_and_abs,barbell_shrug,2,'55 kg',15
2022-02-18,shoulders_and_abs,barbell_shrug,3,'55 kg',15
2022-02-18,shoulders_and_abs,face_pull,1,'32 kg',12
2022-02-18,shoulders_and_abs,face_pull,2,'32 kg',12
2022-02-18,shoulders_and_abs,face_pull,3,'32 kg',12
2022-02-18,shoulders_and_abs,face_pull,4,'32 kg',12
2022-02-18,shoulders_and_abs,twisting_leg_raise,1,'0 kg',32
2022-02-18,shoulders_and_abs,twisting_leg_raise,2,'0 kg',26
2022-02-18,shoulders_and_abs,twisting_leg_raise,3,'0 kg',20
2022-02-18,shoulders_and_abs,swiss_ball_crunch,1,'0 kg',20
2022-02-18,shoulders_and_abs,swiss_ball_crunch,2,'0 kg',15
2022-02-18,shoulders_and_abs,swiss_ball_crunch,3,'0 kg',15
