date,split,exercise,set no.,weight,reps
2022-01-01,legs,squat,1,'80 kg',5
2022-01-01,legs,squat,2,'90 kg',5
2022-01-01,legs,squat,3,'90 kg',5
2022-01-01,legs,squat,4,'80 kg',5
2022-01-01,legs,deadlift,1,'80 kg',5
2022-01-01,legs,deadlift,2,'90 kg',5
2022-01-01,legs,deadlift,3,'90 kg',5
2022-01-01,legs,deadlift,4,'80 kg',5
2022-01-01,legs,legpress,1,'150 kg',10
2022-01-01,legs,legpress,2,'150 kg',10
2022-01-01,legs,legpress,3,'150 kg',10
2022-01-01,legs,legpress,4,'150 kg',10
2022-01-01,legs,prone_leg_curl,1,'41 kg',8
2022-01-01,legs,prone_leg_curl,2,'41 kg',8
2022-01-01,legs,prone_leg_curl,3,'41 kg',8
2022-01-01,legs,standing_calf_raise,1,'50 kg',12
2022-01-01,legs,standing_calf_raise,2,'50 kg',12
2022-01-01,legs,standing_calf_raise,3,'50 kg',12
2022-01-01,legs,barbell_lunge,1,'60 kg',4
2022-01-01,legs,barbell_lunge,2,'40 kg',8
2022-01-01,legs,barbell_lunge,3,'40 kg',14
