date,split,exercise,set no.,weight,reps
2021-12-15,back_and_biceps,pullup_wide_grip,1,'0 kg',5
2021-12-15,back_and_biceps,pullup_wide_grip,2,'0 kg',5
2021-12-15,back_and_biceps,pullup_wide_grip,3,'0 kg',6
2021-12-15,back_and_biceps,chinup,1,'0 kg',5
2021-12-15,back_and_biceps,chinup,2,'0 kg',5
2021-12-15,back_and_biceps,dead_row,1,'40 kg',10
2021-12-15,back_and_biceps,dead_row,2,'40 kg',10
2021-12-15,back_and_biceps,lat_pulldown_with_twist,1,'45 kg',10
2021-12-15,back_and_biceps,lat_pulldown_with_twist,2,'45 kg',10
2021-12-15,back_and_biceps,high_single_arm_cable_row,1,'32 kg',10
2021-12-15,back_and_biceps,high_single_arm_cable_row,2,'32 kg',10
2021-12-15,back_and_biceps,face_pull,1,'9 kg',10
2021-12-15,back_and_biceps,face_pull,2,'14 kg',10
2021-12-15,back_and_biceps,dumbbell_pullover,1,'24 kg',10
2021-12-15,back_and_biceps,dumbbell_pullover,2,'24 kg',5
2021-12-15,back_and_biceps,lat_pulldown,1,'32 kg',12
2021-12-15,back_and_biceps,lat_pulldown,2,'36 kg',12
2021-12-15,back_and_biceps,diverging_low_row,1,'45 kg',12
2021-12-15,back_and_biceps,diverging_low_row,2,'45 kg',12
2021-12-15,back_and_biceps,EZ_bar_curl,1,'40 kg',7
2021-12-15,back_and_biceps,EZ_bar_curl,2,'30 kg',10
