date,split,exercise,set no.,weight,reps
2022-01-05,back_and_biceps,wide_grip_pullup,1,'0 kg',5
2022-01-05,back_and_biceps,wide_grip_pullup,2,'0 kg',5
2022-01-05,back_and_biceps,wide_grip_pullup,3,'0 kg',5
2022-01-05,back_and_biceps,chinup,1,'0 kg',5
2022-01-05,back_and_biceps,chinup,2,'0 kg',5
2022-01-05,back_and_biceps,seated_row,1,'50 kg',10
2022-01-05,back_and_biceps,seated_row,2,'50 kg',10
2022-01-05,back_and_biceps,seated_row,3,'50 kg',10
2022-01-05,back_and_biceps,seated_row,4,'50 kg',10
2022-01-05,back_and_biceps,diverging_seated_row,1,'40 kg',12
2022-01-05,back_and_biceps,diverging_seated_row,2,'40 kg',12
2022-01-05,back_and_biceps,diverging_seated_row,3,'40 kg',12
2022-01-05,back_and_biceps,diverging_seated_row,4,'40 kg',12
2022-01-05,back_and_biceps,diverging_pulldown,1,'50 kg',12
2022-01-05,back_and_biceps,diverging_pulldown,2,'50 kg',10
2022-01-05,back_and_biceps,diverging_pulldown,3,'50 kg',10
2022-01-05,back_and_biceps,diverging_pulldown,4,'50 kg',10
2022-01-05,back_and_biceps,face_pull,1,'14 kg',10
2022-01-05,back_and_biceps,face_pull,2,'16 kg',10
2022-01-05,back_and_biceps,face_pull,3,'18 kg',10
2022-01-05,back_and_biceps,face_pull,4,'20 kg',10
2022-01-05,back_and_biceps,dumbbell_curl,1,'32 kg',6
2022-01-05,back_and_biceps,dumbbell_curl,2,'32 kg',6
