date,split,exercise,set no.,weight,reps
2021-12-28,back_and_biceps,wide_grip_pullup,1,'0 kg',5
2021-12-28,back_and_biceps,wide_grip_pullup,2,'0 kg',5
2021-12-28,back_and_biceps,chinup,1,'0 kg',5
2021-12-28,back_and_biceps,chinup,2,'0 kg',5
2021-12-28,back_and_biceps,seated_row,1,'50 kg',10
2021-12-28,back_and_biceps,seated_row,2,'50 kg',10
2021-12-28,back_and_biceps,seated_row,3,'50 kg',10
2021-12-28,back_and_biceps,seated_row,4,'50 kg',10
2021-12-28,back_and_biceps,diverging_seated_row,1,'40 kg',12
2021-12-28,back_and_biceps,diverging_seated_row,2,'40 kg',12
2021-12-28,back_and_biceps,diverging_seated_row,3,'40 kg',12
2021-12-28,back_and_biceps,diverging_seated_row,4,'40 kg',12
2021-12-28,back_and_biceps,diverging_pulldown,1,'50 kg',12
2021-12-28,back_and_biceps,diverging_pulldown,2,'50 kg',10
2021-12-28,back_and_biceps,diverging_pulldown,3,'50 kg',10
2021-12-28,back_and_biceps,diverging_pulldown,4,'50 kg',10
2021-12-28,back_and_biceps,face_pull,1,'9 kg',10
2021-12-28,back_and_biceps,face_pull,2,'11 kg',10
2021-12-28,back_and_biceps,face_pull,3,'13 kg',10
2021-12-28,back_and_biceps,face_pull,4,'15 kg',10
2021-12-28,back_and_biceps,EZ_bar_curl,1,'30 kg',8
2021-12-28,back_and_biceps,EZ_bar_curl,2,'30 kg',8
