date,split,exercise,set no.,weight,reps
2022-01-16,chest,barbell_bench_press,1,'80 kg',2
2022-01-16,chest,barbell_bench_press,2,'70 kg',6
2022-01-16,chest,barbell_bench_press,3,'70 kg',4
2022-01-16,chest,barbell_bench_press,4,'60 kg',10
2022-01-16,chest,dumbbell_incline_press,1,'52 kg',5
2022-01-16,chest,dumbbell_incline_press,2,'48 kg',5
2022-01-16,chest,dumbbell_incline_press,3,'44 kg',5
2022-01-16,chest,dumbbell_incline_press,4,'40 kg',5
2022-01-16,chest,dip,1,'0 kg',5
2022-01-16,chest,dip,2,'0 kg',5
2022-01-16,chest,dip,3,'0 kg',5
2022-01-16,chest,cable_crossover,1,'54 kg',12
2022-01-16,chest,cable_crossover,2,'54 kg',8
2022-01-16,chest,cable_crossover,3,'54 kg',6
2022-01-16,chest,cable_crossover_high_low,1,'36 kg',10
2022-01-16,chest,cable_crossover_high_low,2,'28 kg',10
2022-01-16,chest,cable_crossover_high_low,3,'28 kg',8
2022-01-16,chest,cable_crossover_low_high,1,'28 kg',7
2022-01-16,chest,cable_crossover_low_high,2,'18 kg',12
2022-01-16,chest,cable_crossover_low_high,3,'18 kg',12
