date,split,exercise,set no.,weight,reps
2021-12-26,chest,barbell_bench_press,1,'70 kg',5
2021-12-26,chest,barbell_bench_press,2,'70 kg',5
2021-12-26,chest,barbell_bench_press,3,'60 kg',8
2021-12-26,chest,cable_crossover,1,'44 kg',12
2021-12-26,chest,cable_crossover,2,'44 kg',10
2021-12-26,chest,cable_crossover,3,'44 kg',10
2021-12-26,chest,cable_crossover_low_high,1,'18 kg',12
2021-12-26,chest,cable_crossover_low_high,2,'18 kg',12
2021-12-26,chest,cable_crossover_low_high,3,'18 kg',12
2021-12-26,chest,cable_crossover_high_low,1,'36 kg',12
2021-12-26,chest,cable_crossover_high_low,2,'36 kg',10
2021-12-26,chest,cable_crossover_high_low,3,'36 kg',12
2021-12-26,chest,incline_barbell_press,1,'40 kg',8
2021-12-26,chest,incline_barbell_press,2,'50 kg',5
2021-12-26,chest,incline_barbell_press,3,'50 kg',5
2021-12-26,chest,dip,1,'0 kg',5
2021-12-26,chest,dip,2,'0 kg',5
2021-12-26,chest,dip,3,'0 kg',5
2021-12-26,chest,dumbbell_pullover,1,'22 kg',8
2021-12-26,chest,dumbbell_pullover,2,'22 kg',8
2021-12-26,chest,dumbbell_pullover,3,'22 kg',8
