date,split,exercise,set no.,weight,reps
2022-01-27,legs,squat,1,'100 kg',3
2022-01-27,legs,squat,2,'90 kg',5
2022-01-27,legs,squat,3,'80 kg',5
2022-01-27,legs,squat,4,'70 kg',5
2022-01-27,legs,deadlift,1,'100 kg',5
2022-01-27,legs,deadlift,2,'100 kg',5
2022-01-27,legs,deadlift,3,'80 kg',5
2022-01-27,legs,deadlift,4,'80 kg',5
2022-01-27,legs,leg_extention,1,'50 kg',12
2022-01-27,legs,leg_extention,2,'60 kg',10
2022-01-27,legs,leg_extention,3,'60 kg',10
2022-01-27,legs,standing_calf_raise,1,'60 kg',10
2022-01-27,legs,standing_calf_raise,2,'60 kg',8
2022-01-27,legs,standing_calf_raise,3,'40 kg',10
2022-01-27,legs,standing_calf_raise,4,'40 kg',9
2022-01-27,legs,barbell_lunge,1,'40 kg',10
2022-01-27,legs,barbell_lunge,2,'40 kg',10
