date,split,exercise,set no.,weight,reps
2021-12-16,shoulders_and_abs,cable_extention,1,'9 kg',12
2021-12-16,shoulders_and_abs,cable_extention,2,'14 kg',10
2021-12-16,shoulders_and_abs,cable_extention,3,'18 kg',9
2021-12-16,shoulders_and_abs,dumbbell_front_lateral,1,'8 kg',10
2021-12-16,shoulders_and_abs,dumbbell_front_lateral,2,'8 kg',8
2021-12-16,shoulders_and_abs,dumbbell_front_lateral,3,'6 kg',8
2021-12-16,shoulders_and_abs,seated_rear_dumbbell_lateral,1,'4 kg',10
2021-12-16,shoulders_and_abs,seated_rear_dumbbell_lateral,2,'4 kg',10
2021-12-16,shoulders_and_abs,seated_rear_dumbbell_lateral,3,'4 kg',12
2021-12-16,shoulders_and_abs,pre_exhaust_barbell_shrug,1,'40 kg',12
2021-12-16,shoulders_and_abs,pre_exhaust_barbell_shrug,2,'40 kg',6
2021-12-16,shoulders_and_abs,pre_exhaust_barbell_shrug,3,'40 kg',6
2021-12-16,shoulders_and_abs,toe_to_bar,1,'0 kg',8
2021-12-16,shoulders_and_abs,toe_to_bar,2,'0 kg',8
